,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1
23,1200,308.26129150390625,375.88530943128796,0.909961896893921,0.9226463375626399,0.9101014508595537
24,1250,350.7712707519531,374.7223849826389,0.9162670240396227,0.9212703377555826,0.9174528702038741
25,1300,464.6410217285156,360.1777244144016,0.9178590240079266,0.9255020686471226,0.9205576538185442
26,1350,381.9947509765625,371.76525497436523,0.9190084338806115,0.9220587843655957,0.9191860130616241
27,1400,243.72109985351562,365.3926893870036,0.9187905827810074,0.9234119556828968,0.91901842812349
28,1450,436.25830078125,347.43062570359973,0.9206461104697631,0.9266859045504995,0.9229856814782432
29,1500,236.7250518798828,343.38141526116266,0.9206151770404356,0.9285397169291968,0.9224641057864301
30,1550,351.67437744140625,346.1698525746663,0.923904247164164,0.9274148371435431,0.9254582663110489
31,1600,373.37579345703125,333.6450386047363,0.9230741341582245,0.9297198019626284,0.9252063374699876
32,1650,294.55572509765625,332.853434032864,0.92349906587228,0.9314270985174388,0.9244523784763763
33,1700,403.7725830078125,341.46944978502063,0.9257572411684344,0.9287224215724589,0.9256036008137905
34,1750,203.32264709472656,321.6340206993951,0.9236885676818944,0.9325394711137159,0.9232180972026857
35,1800,289.2261962890625,327.3128890991211,0.9259432390133637,0.9335362714993166,0.9266330733485248
36,1850,293.39495849609375,305.6027374267578,0.9312805511647622,0.9369375771735171,0.9331807441014833
37,1900,417.3458557128906,313.80541186862524,0.9339348637293621,0.9339345470038434,0.9333948937876178
38,1950,244.40338134765625,310.0132613711887,0.9295066846463569,0.9362952703122641,0.9280388946082131
39,2000,328.7271728515625,298.7080160776774,0.9348732873029189,0.9376606055217178,0.9356284889994811
40,2050,178.64178466796875,291.2718262142605,0.9334373849779612,0.9394084860122143,0.9346813748402208
41,2100,370.50408935546875,281.9767869313558,0.9381658153355422,0.9422350588758054,0.9393389641649155
42,2150,184.9352264404297,272.4005495707194,0.9393023346293015,0.9440398586120535,0.9405534550582678
43,2200,266.0807189941406,284.18903711107043,0.9389617990622523,0.9403699460976281,0.938957006573789
44,2250,281.69097900390625,290.3080185784234,0.936418467640642,0.9408529053699803,0.9353519739321058
45,2300,265.2788391113281,266.172817018297,0.9420786374684621,0.9453047951595277,0.9423991758594077
46,2350,200.03770446777344,259.2400992711385,0.9420107041445227,0.9466940349567705,0.9431614676264466
47,2400,145.62266540527344,254.46677494049072,0.9428539691780252,0.9470243963090258,0.9433608314620815
48,2450,268.9522705078125,259.6261037190755,0.9428397758418507,0.9462171899125065,0.9437004993726082
49,2500,169.10667419433594,255.72875266604953,0.9445825607154019,0.9469583351821449,0.9447134310180221
50,2550,175.47299194335938,253.21049732632108,0.9445532478555644,0.9477537023711167,0.9429037618708306
51,2600,178.69630432128906,246.46756002638074,0.9459748103711216,0.9501390703171514,0.945977144166934
52,2650,228.2584228515625,237.4262064827813,0.9477926150176974,0.9500146467470906,0.9485501972055833
53,2700,148.33197021484375,233.34157752990723,0.9483717814638563,0.9509961539486423,0.9492556779436719
54,2750,222.62696838378906,231.26670922173395,0.9483072394582922,0.9513073722129061,0.949344320404158
55,2800,166.79859924316406,237.1299319797092,0.94965246296956,0.9499418651093025,0.9495984088621243
56,2850,150.31858825683594,230.43869357638889,0.9496184109786802,0.9525807917457433,0.9504985452530496
57,2900,244.52767944335938,232.24944517347546,0.9485849129426354,0.9519833727106389,0.9495433852676446
58,2950,188.73101806640625,219.94880697462293,0.9521459309783877,0.9543340905863978,0.9529463653248618
59,3000,151.39791870117188,222.48807080586752,0.9505808553002496,0.9532360045467463,0.9499801032653975
60,3050,83.84912109375,224.07380443149142,0.95043546041888,0.9536534928509935,0.9510795419493708
61,3100,100.51664733886719,212.11885685390897,0.953708358347275,0.9557562999085103,0.954187790928889
62,3150,117.67498779296875,211.54491890801324,0.9532072105547782,0.955600466520063,0.9530091193562673
63,3200,103.39494323730469,204.56983746422662,0.9558724411782711,0.9572297987650482,0.9558484001943853
64,3250,155.9658203125,220.87739266289606,0.9521775624126827,0.9553198671143562,0.9517250560569365
65,3300,233.708984375,216.21678013271756,0.9561642319337177,0.9542750237181136,0.9549966198114688
66,3350,116.0389175415039,216.18255869547525,0.9541821044735299,0.9568498623812484,0.9537361189090912
67,3400,187.94790649414062,219.9997624291314,0.9552619901077573,0.9574328342312437,0.9544437704012745
68,3450,144.5626678466797,213.03813404507108,0.9552647287522726,0.9576131028595817,0.9552465200291964
69,3500,118.93891906738281,198.81120618184408,0.9571546539335942,0.9579198023936667,0.9574228487767003
70,3550,164.6027069091797,200.00191752115884,0.956602688163165,0.9584953568067615,0.9570319679622058
71,3600,166.76519775390625,206.86277304755316,0.956489721160935,0.9589436563418816,0.9570045698925497
72,3650,43.44349670410156,206.31997638278537,0.9568851203995609,0.9595159672221384,0.9572547431630732
73,3700,126.441650390625,198.4349004957411,0.9577448545801428,0.9597444430602765,0.9579581906400753
74,3750,113.97915649414062,198.0866675906711,0.9577102421369403,0.9599708685264625,0.9583531662283429
75,3800,106.88844299316406,197.84303898281522,0.9582913425282589,0.9603608407767853,0.9588621558934554
76,3850,188.45407104492188,195.55639584859213,0.9585989927588106,0.96014052394851,0.958999151996285
77,3900,181.9717559814453,201.75031259324817,0.95803632911498,0.9601818633893369,0.9583164416864889
78,3950,92.2977294921875,200.44360192616782,0.9591809703387572,0.9583745136273384,0.9587205880623328
79,4000,77.00706481933594,188.38943831125894,0.9604635225446734,0.9622720324220555,0.96102961312542
80,4050,62.995635986328125,208.21468596988254,0.9583763381628989,0.9607858811408067,0.9587882685914049
81,4100,110.85548400878906,194.59465715620252,0.9595289179362236,0.9615545043885728,0.9599240396676447
82,4150,113.40702819824219,191.29913881089954,0.960696752360845,0.962364350034634,0.9612223057455159
83,4200,93.52828979492188,198.1612140867445,0.9605111506167598,0.9615374370721572,0.9600713243002372
84,4250,54.76708984375,189.9740464952257,0.9608880050639863,0.9623442104889394,0.9611774097231536
85,4300,49.3585205078125,185.49609279632568,0.9618778777019634,0.9624229724210189,0.9620579979573801
86,4350,47.428375244140625,185.1642106374105,0.9616732594258554,0.9631241268231043,0.9620257919185402
87,4400,94.36338806152344,185.95053821139865,0.9618319771191258,0.9632386867790594,0.9621848435351256
88,4450,209.95130920410156,193.79532623291016,0.961080678038388,0.9630389050142465,0.9612077317738531
89,4500,67.82621765136719,189.92823134528265,0.9620729744681088,0.9638586352522783,0.9624291546948918
90,4550,68.48771667480469,193.79245037502713,0.9613198860163454,0.9633310517098842,0.961567133613793
91,4600,69.79057312011719,199.13981840345593,0.9607774713169204,0.9590853750655398,0.9597527474393275
92,4650,38.462738037109375,188.29601309034558,0.9620866614838379,0.9629850215565137,0.9623865574429985
93,4700,43.65252685546875,189.7437767452664,0.9620723010267473,0.9635360686463488,0.9625776820043619
94,4750,71.85841369628906,188.04788547092014,0.9629387577683641,0.9641978269946607,0.9634239062545369
95,4800,34.137054443359375,191.1637258529663,0.9632048136762382,0.9647038965192516,0.9636810723327145
96,4850,91.04562377929688,194.649933497111,0.9633063478406175,0.9650164664944564,0.963631069379478
97,4900,84.48759460449219,196.16833792792426,0.9626341272695625,0.9642819130064572,0.9628583473826653
98,4950,30.738616943359375,199.87151781717935,0.9621507473049301,0.9637109302181073,0.9625731422334795
99,5000,31.29278564453125,199.20616383022733,0.9619952391636863,0.9639191732660961,0.9622368851125118
100,5050,38.247650146484375,200.26267507341174,0.9621633605295602,0.9639710845085432,0.9624500093061207
101,5100,29.601821899414062,193.84265285068088,0.9638279684055009,0.9653676960675406,0.9641837432126847
102,5150,69.15203857421875,189.05152967241077,0.9641331718795345,0.9655270731424804,0.9645239305264302
103,5200,36.47413635253906,187.95105828179254,0.9639013562575258,0.9654157403290351,0.9642464991598628
104,5250,69.08126831054688,194.68457211388483,0.9631085096461416,0.961648408231388,0.9622591465887622
105,5300,46.664886474609375,199.5266545613607,0.9635978596417535,0.9653612718047151,0.9640240642764843
106,5350,47.84049987792969,196.41134643554688,0.9640713573541274,0.9655613150607115,0.9643925722291762
107,5400,49.37330627441406,196.32540236579047,0.9644896884420235,0.965979747734944,0.9649539262631132
108,5450,13.148529052734375,201.67551464504666,0.9636621090652472,0.9652121330689266,0.9638289109526051
109,5500,23.618682861328125,211.9516086578369,0.9635304671261541,0.9651775324017731,0.9636439365218166
110,5550,25.887161254882812,196.24874962700738,0.964098492847884,0.9654642654163115,0.9645774955082825
111,5600,58.31468200683594,199.60147137112088,0.964511016623344,0.9658348953105151,0.964874832706498
112,5650,19.902145385742188,201.3600894080268,0.9638350120593802,0.9651593312438402,0.9641389093568833
113,5700,68.70710754394531,204.68820179833307,0.9643721215934749,0.9660094146904699,0.9647405811876806
114,5750,28.509979248046875,201.96171718173557,0.9643546669683543,0.9657859469438108,0.9646902342644748
115,5800,42.365234375,208.52189848158093,0.9642720489354525,0.9659030320264458,0.9647236062392538
116,5850,39.79193115234375,200.64634238349066,0.9643290456384472,0.9659151429078644,0.9648016950478969
117,5900,69.80760192871094,198.4808022181193,0.9641812744388177,0.9635427778963089,0.9638305784467505
118,5950,13.4388427734375,199.99865436553955,0.9644542289676763,0.9658760031247781,0.9648834454990342
119,6000,5.0300445556640625,207.68682267930774,0.9644428874265717,0.9659691678884001,0.9647640536686187
120,6050,12.671188354492188,212.77941958109537,0.9641876099293649,0.9658433071705083,0.9644996993678905
121,6100,13.65228271484375,216.82465171813965,0.9641896374717767,0.9656769078999992,0.9643339568263076
122,6150,25.925445556640625,207.1027914683024,0.9649490961784033,0.9663696234888964,0.9652311928660405
123,6200,9.485824584960938,206.05135832892523,0.9647566387407166,0.9662027656322206,0.9651916299396724
124,6250,50.343017578125,208.92949422200522,0.9645935876250821,0.9660934184475243,0.9649433767736998
125,6300,22.303787231445312,208.98657057020398,0.9648048261753169,0.966297625817458,0.9651271315194417
126,6350,23.047500610351562,204.5387749142117,0.9650268576798321,0.9664029690399453,0.9654870600657145
127,6400,7.99871826171875,209.028625064426,0.9651161957621733,0.9666045438409656,0.96548337950363
128,6450,19.578125,210.81605084737143,0.9649493828422349,0.9664425362807366,0.965286198785811
129,6500,25.404800415039062,210.59510231018066,0.9647831260066952,0.9662932320147717,0.9651563703514533
