,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1
0,50,978.6224365234375,886.4639960394966,0.8032124682935317,0.8752409119572264,0.8267980741476028
1,100,659.7769775390625,705.4029659695095,0.8479626177505308,0.895793575416515,0.8540815523562805
2,150,504.4272155761719,628.9408539666069,0.8624182799071664,0.8977293934681182,0.863417277814092
3,200,703.8800048828125,582.6398934258355,0.8653948352420537,0.8999217652602194,0.8673005407452524
4,250,972.1485595703125,643.0456657409668,0.8889748394819064,0.8815904120063304,0.877584243862886
5,300,586.5086669921875,517.421565161811,0.882488726260413,0.9053967690395881,0.8834668973170361
6,350,311.1881408691406,496.12416542900934,0.8875255994851051,0.9062780149649841,0.8910993709497524
7,400,538.34375,476.7362242804633,0.8917499221483353,0.9105864824356803,0.892018756939766
8,450,566.2528076171875,481.50183529324,0.896871421539492,0.9078369292613081,0.8967181390885267
9,500,399.4949951171875,602.167285071479,0.902930908553064,0.8829741914870958,0.8901301184458834
10,550,345.693603515625,454.78148036532934,0.8927273606935612,0.9124937806524984,0.8905906301221761
11,600,391.61431884765625,430.72699568006726,0.8977194503620138,0.9151881648818087,0.9005700042301588
12,650,433.684814453125,421.899728986952,0.8990829444770992,0.9154735682819384,0.9005776414358622
13,700,408.9607849121094,465.17776065402563,0.8951600921451113,0.9102565243311059,0.8940059769400671
14,750,564.8314208984375,424.2946616278754,0.9032267181581608,0.9141476929634498,0.9018446299673936
15,800,336.8179931640625,466.4398905436198,0.9082595813575345,0.9051819771208477,0.9029437442281096
16,850,433.89068603515625,443.53547965155707,0.8966720144640563,0.9144752617696427,0.8944354272299724
17,900,347.7663879394531,452.6518800523546,0.909937250518948,0.9108824679247965,0.9084176432841233
18,950,403.3213806152344,495.94642215304907,0.9177426215546816,0.8922197794372891,0.8971769632872906
19,1000,410.3324279785156,431.2861332363552,0.9034629276800872,0.9157145016583231,0.895089383783803
20,1050,417.9891662597656,388.449497434828,0.9084932902100384,0.9210746003552398,0.9062421045772344
21,1100,489.79547119140625,381.8495587242974,0.9106682004595626,0.9218509591867591,0.9093407665107007
22,1150,369.0718994140625,393.1206537882487,0.9096183473471369,0.9213218707259454,0.9089053380547258
